CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8450","CPSC 250","3","Progrmng for Data Manipulation","3","","Lec","MW","1600-1715","LUTR 236","Venturi, Gaelan","1","Open",
"9214","CPSC 250","4","Progrmng for Data Manipulation","3","","Lec","TR","1800-1915","LUTR 236","Conner, David","9","Open",
"8451","CPSC 250L","1","Prog for Data Manipulation Lab","1","","Lab","F","1300-1445","LUTR 236","Conner, David; Logan, Darryle","2","Open",
"8452","CPSC 250L","2","Prog for Data Manipulation Lab","1","","Lab","W","1600-1745","LUTR 323","Phadke, Abhishek","0","Closed",
"8453","CPSC 250L","3","Prog for Data Manipulation Lab","1","","Lab","W","1400-1545","LUTR 236","Conner, David; Kropinski, Brett","0","Closed",
"8454","CPSC 255","1","Programming for Applications","3","","Lec","TR","0930-1045","LUTR 258","McElfresh, Scott","0","Closed",
"8455","CPSC 255","2","Programming for Applications","3","","Lec","TR","1500-1615","LUTR 258","McElfresh, Scott","0","Closed",
"8456","CPSC 255","3","Programming for Applications","3","","Lec","TR","1100-1215","LUTR 236","Siochi, Antonio","1","Open",
"8457","CPSC 256","1","C/C++ Prgm for Engr &amp; Scientis","3","","Lec","MWF","1100-1150","LUTR 236","Brash, Edward","0","Closed",
"9257","CPSC 256","2","C/C++ Prgm for Engr &amp; Scientis","3","","Lec","MWF","1100-1150","LUTR 323","Doost Mohammadi, Farideh","3","Open",
"8458","CPSC 270","1","Data and File Structures","3","","Lec","TR","1330-1445","LUTR 236","Siochi, Antonio","0","Closed",
"8460","CPSC 280","1","Intro to Software Engineering","3","","Lec","MWF","1100-1150","LUTR 258","Flores, Roberto","0","Closed",
"8461","CPSC 327","1","C++ Programming","3","","Lec","TR","1630-1745","LUTR 258","Perkins, Keith","5","Open",
"8462","CPSC 327","2","C++ Programming","3","","Lec","TR","1330-1445","LUTR 258","Perkins, Keith","6","Open",
"8463","CPSC 335","1","Data Communication Systems","3","","Lec","TR","0930-1045","LUTR 322","Phadke, Abhishek","0","Closed",
